Driving,Step,Scenario_temp,Scenario,Demand,Ego_Op_Demand,Ego_Speed_Demand,Rain_Demand,Fog_Demand,Wetness_Demand,Time_Of_Day_Demand,NPCs_Demand,Pedestrians_Demand,Static_Demand,Traffic_Light_Demand,Sidewalk_Demand,Demand_Level,NPC_Number,Pedestrian_Number,Static_Number,Occur_Time,Collision,CollisionOccurredTime,BreakSafetyDistanceOccurredTime
0,0,"{
  ""TimeStep1"": {
    ""Ego_Position"": {
      ""vx"": 5.31,
      ""ay"": 0.17,
      ""az"": 9.81,
      ""ax"": 0.13,
      ""pz"": 10.12,
      ""vy"": 5.31,
      ""px"": 552837.88,
      ""py"": 4182811.53
    },
    ""Ego_Operation"": ""SpeedUp"",
    ""Ego_Speed"": ""Fast (speed (m/s) > 8)"",
    ""Weather[rain]"": ""None rain (rain_level==0)"",
    ""Weather[fog]"": ""None fog (fog_level==0)"",
    ""Weather[wetness]"": ""None wetness (wetness_level==0)"",
    ""TimeofDay"": ""Noon (12pm)"",
    ""NPC"": ""None"",
    ""Pedestrian"": ""None"",
    ""Static obstacle"": ""None"",
    ""TrafficRule[Traffic light]"": ""Green (Allow to pass but slow at intersection)"",
    ""TrafficRule[Sidewalk]"": ""None"",
    ""CollisionInfoAtTimeStep"": ""NotOccurred""
  }
}","{
  ""Scenario"": {
    ""Ego_Position"": {
      ""vx"": 5.31,
      ""ay"": 0.17,
      ""az"": 9.81,
      ""ax"": 0.13,
      ""pz"": 10.12,
      ""vy"": 5.31,
      ""px"": 552837.88,
      ""py"": 4182811.53
    },
    ""Ego_Operation"": ""SpeedUp"",
    ""Ego_Speed"": ""Fast (speed (m/s) > 8)"",
    ""Weather[rain]"": ""None rain (rain_level==0)"",
    ""Weather[fog]"": ""None fog (fog_level==0)"",
    ""Weather[wetness]"": ""None wetness (wetness_level==0)"",
    ""TimeofDay"": ""Noon (12pm)"",
    ""NPC"": ""None"",
    ""Pedestrian"": ""None"",
    ""Static obstacle"": ""None"",
    ""TrafficRule[Traffic light]"": ""Green (Allow to pass but slow at intersection)"",
    ""TrafficRule[Sidewalk]"": ""None"",
    ""CollisionInfoAtTimeStep"": ""NotOccurred""
  },
  ""Time"": [
    ""TimeStep1""
  ]
}",5,1,3,0,0,0,2,0,0,0,1,0,"{'ego_op_demand': 'high', 'ego_speed_demand': 'not high', 'rain_demand': 'not high', 'fog_demand': 'not high', 'wetness_demand': 'not high', 'time_of_day_demand': 'high', 'npcs_demand': 'high', 'pedestrians_demand': 'high', 'obstacles_demand': 'high', 'traffic_light_demand': 'not high', 'sidewalk_demand': 'not high'}",0,0,0,0.5,SafeDriving,-1,-1
0,0,"{
  ""TimeStep2"": {
    ""Ego_Position"": {
      ""vx"": 3.08,
      ""ay"": 1.91,
      ""az"": 9.77,
      ""ax"": 1.45,
      ""pz"": 10.12,
      ""vy"": 3.08,
      ""px"": 552860.25,
      ""py"": 4182794.72
    },
    ""Ego_Operation"": ""ChangeLaneToLeft"",
    ""Ego_Speed"": ""Moderate (5 < speed (m/s) <= 8)"",
    ""Weather[rain]"": ""None rain (rain_level==0)"",
    ""Weather[fog]"": ""None fog (fog_level==0)"",
    ""Weather[wetness]"": ""None wetness (wetness_level==0)"",
    ""TimeofDay"": ""Noon (12pm)"",
    ""NPC"": ""None"",
    ""Pedestrian"": ""None"",
    ""Static obstacle"": ""None"",
    ""TrafficRule[Traffic light]"": ""Green (Allow to pass but slow at intersection)"",
    ""TrafficRule[Sidewalk]"": ""None"",
    ""CollisionInfoAtTimeStep"": ""NotOccurred""
  },
  ""TimeStep3"": {
    ""Ego_Position"": {
      ""vx"": 3.08,
      ""ay"": 1.91,
      ""az"": 9.77,
      ""ax"": 1.45,
      ""pz"": 10.12,
      ""vy"": 3.08,
      ""px"": 552860.25,
      ""py"": 4182794.72
    },
    ""Ego_Operation"": ""ChangeLaneToLeft"",
    ""Ego_Speed"": ""Moderate (5 < speed (m/s) <= 8)"",
    ""Weather[rain]"": ""None rain (rain_level==0)"",
    ""Weather[fog]"": ""None fog (fog_level==0)"",
    ""Weather[wetness]"": ""None wetness (wetness_level==0)"",
    ""TimeofDay"": ""Noon (12pm)"",
    ""NPC"": ""None"",
    ""Pedestrian"": ""None"",
    ""Static obstacle"": ""None"",
    ""TrafficRule[Traffic light]"": ""Green (Allow to pass but slow at intersection)"",
    ""TrafficRule[Sidewalk]"": ""None"",
    ""CollisionInfoAtTimeStep"": ""NotOccurred""
  }
}","{
  ""Scenario"": {
    ""Ego_Position"": {
      ""vx"": 3.08,
      ""ay"": 1.91,
      ""az"": 9.77,
      ""ax"": 1.45,
      ""pz"": 10.12,
      ""vy"": 3.08,
      ""px"": 552860.25,
      ""py"": 4182794.72
    },
    ""Ego_Operation"": ""ChangeLaneToLeft"",
    ""Ego_Speed"": ""Moderate (5 < speed (m/s) <= 8)"",
    ""Weather[rain]"": ""None rain (rain_level==0)"",
    ""Weather[fog]"": ""None fog (fog_level==0)"",
    ""Weather[wetness]"": ""None wetness (wetness_level==0)"",
    ""TimeofDay"": ""Noon (12pm)"",
    ""NPC"": ""None"",
    ""Pedestrian"": ""None"",
    ""Static obstacle"": ""None"",
    ""TrafficRule[Traffic light]"": ""Green (Allow to pass but slow at intersection)"",
    ""TrafficRule[Sidewalk]"": ""None"",
    ""CollisionInfoAtTimeStep"": ""NotOccurred""
  },
  ""Time"": [
    ""TimeStep2"",
    ""TimeStep3""
  ]
}",5,1,2,0,0,0,2,0,0,0,1,0,"{'ego_op_demand': 'high', 'ego_speed_demand': 'not high', 'rain_demand': 'not high', 'fog_demand': 'not high', 'wetness_demand': 'not high', 'time_of_day_demand': 'high', 'npcs_demand': 'high', 'pedestrians_demand': 'high', 'obstacles_demand': 'high', 'traffic_light_demand': 'not high', 'sidewalk_demand': 'not high'}",0,0,0,1.0,SafeDriving,-1,-1
0,0,"{
  ""TimeStep4"": {
    ""Ego_Position"": {
      ""vx"": 3.98,
      ""ay"": 1.07,
      ""az"": 9.83,
      ""ax"": 0.76,
      ""pz"": 10.12,
      ""vy"": 3.98,
      ""px"": 552856.62,
      ""py"": 4182797.29
    },
    ""Ego_Operation"": ""SpeedUp"",
    ""Ego_Speed"": ""Moderate (5 < speed (m/s) <= 8)"",
    ""Weather[rain]"": ""None rain (rain_level==0)"",
    ""Weather[fog]"": ""None fog (fog_level==0)"",
    ""Weather[wetness]"": ""None wetness (wetness_level==0)"",
    ""TimeofDay"": ""Noon (12pm)"",
    ""NPC"": ""None"",
    ""Pedestrian"": ""None"",
    ""Static obstacle"": ""None"",
    ""TrafficRule[Traffic light]"": ""Yellow (Stop for a while)"",
    ""TrafficRule[Sidewalk]"": ""None"",
    ""CollisionInfoAtTimeStep"": ""NotOccurred""
  }
}","{
  ""Scenario"": {
    ""Ego_Position"": {
      ""vx"": 3.98,
      ""ay"": 1.07,
      ""az"": 9.83,
      ""ax"": 0.76,
      ""pz"": 10.12,
      ""vy"": 3.98,
      ""px"": 552856.62,
      ""py"": 4182797.29
    },
    ""Ego_Operation"": ""SpeedUp"",
    ""Ego_Speed"": ""Moderate (5 < speed (m/s) <= 8)"",
    ""Weather[rain]"": ""None rain (rain_level==0)"",
    ""Weather[fog]"": ""None fog (fog_level==0)"",
    ""Weather[wetness]"": ""None wetness (wetness_level==0)"",
    ""TimeofDay"": ""Noon (12pm)"",
    ""NPC"": ""None"",
    ""Pedestrian"": ""None"",
    ""Static obstacle"": ""None"",
    ""TrafficRule[Traffic light]"": ""Yellow (Stop for a while)"",
    ""TrafficRule[Sidewalk]"": ""None"",
    ""CollisionInfoAtTimeStep"": ""NotOccurred""
  },
  ""Time"": [
    ""TimeStep4""
  ]
}",6,1,2,0,0,0,2,0,0,0,2,0,"{'ego_op_demand': 'high', 'ego_speed_demand': 'not high', 'rain_demand': 'not high', 'fog_demand': 'not high', 'wetness_demand': 'not high', 'time_of_day_demand': 'high', 'npcs_demand': 'high', 'pedestrians_demand': 'high', 'obstacles_demand': 'high', 'traffic_light_demand': 'high', 'sidewalk_demand': 'not high'}",0,0,0,2.0,SafeDriving,-1,-1
0,0,"{
  ""TimeStep5"": {
    ""Ego_Position"": {
      ""vx"": 4.26,
      ""ay"": 0.11,
      ""az"": 9.85,
      ""ax"": 0.26,
      ""pz"": 10.12,
      ""vy"": 4.26,
      ""px"": 552854.35,
      ""py"": 4182798.94
    },
    ""Ego_Operation"": ""ChangeLaneToLeft"",
    ""Ego_Speed"": ""Moderate (5 < speed (m/s) <= 8)"",
    ""Weather[rain]"": ""None rain (rain_level==0)"",
    ""Weather[fog]"": ""None fog (fog_level==0)"",
    ""Weather[wetness]"": ""None wetness (wetness_level==0)"",
    ""TimeofDay"": ""Noon (12pm)"",
    ""NPC"": ""None"",
    ""Pedestrian"": ""None"",
    ""Static obstacle"": ""None"",
    ""TrafficRule[Traffic light]"": ""Green (Allow to pass but slow at intersection)"",
    ""TrafficRule[Sidewalk]"": ""None"",
    ""CollisionInfoAtTimeStep"": ""NotOccurred""
  }
}","{
  ""Scenario"": {
    ""Ego_Position"": {
      ""vx"": 4.26,
      ""ay"": 0.11,
      ""az"": 9.85,
      ""ax"": 0.26,
      ""pz"": 10.12,
      ""vy"": 4.26,
      ""px"": 552854.35,
      ""py"": 4182798.94
    },
    ""Ego_Operation"": ""ChangeLaneToLeft"",
    ""Ego_Speed"": ""Moderate (5 < speed (m/s) <= 8)"",
    ""Weather[rain]"": ""None rain (rain_level==0)"",
    ""Weather[fog]"": ""None fog (fog_level==0)"",
    ""Weather[wetness]"": ""None wetness (wetness_level==0)"",
    ""TimeofDay"": ""Noon (12pm)"",
    ""NPC"": ""None"",
    ""Pedestrian"": ""None"",
    ""Static obstacle"": ""None"",
    ""TrafficRule[Traffic light]"": ""Green (Allow to pass but slow at intersection)"",
    ""TrafficRule[Sidewalk]"": ""None"",
    ""CollisionInfoAtTimeStep"": ""NotOccurred""
  },
  ""Time"": [
    ""TimeStep5""
  ]
}",5,1,2,0,0,0,2,0,0,0,1,0,"{'ego_op_demand': 'high', 'ego_speed_demand': 'not high', 'rain_demand': 'not high', 'fog_demand': 'not high', 'wetness_demand': 'not high', 'time_of_day_demand': 'high', 'npcs_demand': 'high', 'pedestrians_demand': 'high', 'obstacles_demand': 'high', 'traffic_light_demand': 'not high', 'sidewalk_demand': 'not high'}",0,0,0,2.5,SafeDriving,-1,-1
0,0,"{
  ""TimeStep6"": {
    ""Ego_Position"": {
      ""vx"": 4.52,
      ""ay"": 0.0,
      ""az"": 9.81,
      ""ax"": 0.0,
      ""pz"": 10.12,
      ""vy"": 4.52,
      ""px"": 552851.68,
      ""py"": 4182800.9
    },
    ""Ego_Operation"": ""SpeedUp"",
    ""Ego_Speed"": ""Moderate (5 < speed (m/s) <= 8)"",
    ""Weather[rain]"": ""None rain (rain_level==0)"",
    ""Weather[fog]"": ""None fog (fog_level==0)"",
    ""Weather[wetness]"": ""None wetness (wetness_level==0)"",
    ""TimeofDay"": ""Noon (12pm)"",
    ""NPC"": ""None"",
    ""Pedestrian"": ""None"",
    ""Static obstacle"": ""None"",
    ""TrafficRule[Traffic light]"": ""Green (Allow to pass but slow at intersection)"",
    ""TrafficRule[Sidewalk]"": ""None"",
    ""CollisionInfoAtTimeStep"": ""NotOccurred""
  }
}","{
  ""Scenario"": {
    ""Ego_Position"": {
      ""vx"": 4.52,
      ""ay"": 0.0,
      ""az"": 9.81,
      ""ax"": 0.0,
      ""pz"": 10.12,
      ""vy"": 4.52,
      ""px"": 552851.68,
      ""py"": 4182800.9
    },
    ""Ego_Operation"": ""SpeedUp"",
    ""Ego_Speed"": ""Moderate (5 < speed (m/s) <= 8)"",
    ""Weather[rain]"": ""None rain (rain_level==0)"",
    ""Weather[fog]"": ""None fog (fog_level==0)"",
    ""Weather[wetness]"": ""None wetness (wetness_level==0)"",
    ""TimeofDay"": ""Noon (12pm)"",
    ""NPC"": ""None"",
    ""Pedestrian"": ""None"",
    ""Static obstacle"": ""None"",
    ""TrafficRule[Traffic light]"": ""Green (Allow to pass but slow at intersection)"",
    ""TrafficRule[Sidewalk]"": ""None"",
    ""CollisionInfoAtTimeStep"": ""NotOccurred""
  },
  ""Time"": [
    ""TimeStep6""
  ]
}",5,1,2,0,0,0,2,0,0,0,1,0,"{'ego_op_demand': 'high', 'ego_speed_demand': 'not high', 'rain_demand': 'not high', 'fog_demand': 'not high', 'wetness_demand': 'not high', 'time_of_day_demand': 'high', 'npcs_demand': 'high', 'pedestrians_demand': 'high', 'obstacles_demand': 'high', 'traffic_light_demand': 'not high', 'sidewalk_demand': 'not high'}",0,0,0,3.0,SafeDriving,-1,-1
0,0,"{
  ""TimeStep7"": {
    ""Ego_Position"": {
      ""vx"": 4.77,
      ""ay"": 0.68,
      ""az"": 9.81,
      ""ax"": 0.51,
      ""pz"": 10.12,
      ""vy"": 4.77,
      ""px"": 552849.2,
      ""py"": 4182802.75
    },
    ""Ego_Operation"": ""ChangeLaneToLeft"",
    ""Ego_Speed"": ""Moderate (5 < speed (m/s) <= 8)"",
    ""Weather[rain]"": ""None rain (rain_level==0)"",
    ""Weather[fog]"": ""None fog (fog_level==0)"",
    ""Weather[wetness]"": ""None wetness (wetness_level==0)"",
    ""TimeofDay"": ""Noon (12pm)"",
    ""NPC"": ""None"",
    ""Pedestrian"": ""None"",
    ""Static obstacle"": ""None"",
    ""TrafficRule[Traffic light]"": ""Green (Allow to pass but slow at intersection)"",
    ""TrafficRule[Sidewalk]"": ""None"",
    ""CollisionInfoAtTimeStep"": ""NotOccurred""
  }
}","{
  ""Scenario"": {
    ""Ego_Position"": {
      ""vx"": 4.77,
      ""ay"": 0.68,
      ""az"": 9.81,
      ""ax"": 0.51,
      ""pz"": 10.12,
      ""vy"": 4.77,
      ""px"": 552849.2,
      ""py"": 4182802.75
    },
    ""Ego_Operation"": ""ChangeLaneToLeft"",
    ""Ego_Speed"": ""Moderate (5 < speed (m/s) <= 8)"",
    ""Weather[rain]"": ""None rain (rain_level==0)"",
    ""Weather[fog]"": ""None fog (fog_level==0)"",
    ""Weather[wetness]"": ""None wetness (wetness_level==0)"",
    ""TimeofDay"": ""Noon (12pm)"",
    ""NPC"": ""None"",
    ""Pedestrian"": ""None"",
    ""Static obstacle"": ""None"",
    ""TrafficRule[Traffic light]"": ""Green (Allow to pass but slow at intersection)"",
    ""TrafficRule[Sidewalk]"": ""None"",
    ""CollisionInfoAtTimeStep"": ""NotOccurred""
  },
  ""Time"": [
    ""TimeStep7""
  ]
}",5,1,2,0,0,0,2,0,0,0,1,0,"{'ego_op_demand': 'high', 'ego_speed_demand': 'not high', 'rain_demand': 'not high', 'fog_demand': 'not high', 'wetness_demand': 'not high', 'time_of_day_demand': 'high', 'npcs_demand': 'high', 'pedestrians_demand': 'high', 'obstacles_demand': 'high', 'traffic_light_demand': 'not high', 'sidewalk_demand': 'not high'}",0,0,0,3.5,SafeDriving,-1,-1
0,0,"{
  ""TimeStep1"": {
    ""Ego_Position"": {
      ""vx"": 6.09,
      ""ay"": 0.0,
      ""az"": 9.81,
      ""ax"": -0.0,
      ""pz"": 10.12,
      ""vy"": 6.09,
      ""px"": 552808.96,
      ""py"": 4182833.84
    },
    ""Ego_Operation"": ""SpeedUp"",
    ""Ego_Speed"": ""Fast (speed (m/s) > 8)"",
    ""Weather[rain]"": ""None rain (rain_level==0)"",
    ""Weather[fog]"": ""None fog (fog_level==0)"",
    ""Weather[wetness]"": ""None wetness (wetness_level==0)"",
    ""TimeofDay"": ""Noon (12pm)"",
    ""NPC"": ""None"",
    ""Pedestrian"": ""None"",
    ""Static obstacle"": ""None"",
    ""TrafficRule[Traffic light]"": ""Red (Do not run a red light)"",
    ""TrafficRule[Sidewalk]"": ""None"",
    ""CollisionInfoAtTimeStep"": ""NotOccurred""
  }
}","{
  ""Scenario"": {
    ""Ego_Position"": {
      ""vx"": 6.09,
      ""ay"": 0.0,
      ""az"": 9.81,
      ""ax"": -0.0,
      ""pz"": 10.12,
      ""vy"": 6.09,
      ""px"": 552808.96,
      ""py"": 4182833.84
    },
    ""Ego_Operation"": ""SpeedUp"",
    ""Ego_Speed"": ""Fast (speed (m/s) > 8)"",
    ""Weather[rain]"": ""None rain (rain_level==0)"",
    ""Weather[fog]"": ""None fog (fog_level==0)"",
    ""Weather[wetness]"": ""None wetness (wetness_level==0)"",
    ""TimeofDay"": ""Noon (12pm)"",
    ""NPC"": ""None"",
    ""Pedestrian"": ""None"",
    ""Static obstacle"": ""None"",
    ""TrafficRule[Traffic light]"": ""Red (Do not run a red light)"",
    ""TrafficRule[Sidewalk]"": ""None"",
    ""CollisionInfoAtTimeStep"": ""NotOccurred""
  },
  ""Time"": [
    ""TimeStep1""
  ]
}",6,1,3,0,0,0,2,0,0,0,3,0,"{'ego_op_demand': 'high', 'ego_speed_demand': 'not high', 'rain_demand': 'not high', 'fog_demand': 'not high', 'wetness_demand': 'not high', 'time_of_day_demand': 'high', 'npcs_demand': 'high', 'pedestrians_demand': 'high', 'obstacles_demand': 'high', 'traffic_light_demand': 'high', 'sidewalk_demand': 'not high'}",0,0,0,0.5,SafeDriving,-1,-1
0,0,"{
  ""TimeStep2"": {
    ""Ego_Position"": {
      ""vx"": 5.5,
      ""ay"": 0.16,
      ""az"": 9.83,
      ""ax"": 0.13,
      ""pz"": 10.12,
      ""vy"": 5.5,
      ""px"": 552835.53,
      ""py"": 4182813.22
    },
    ""Ego_Operation"": ""SpeedUp"",
    ""Ego_Speed"": ""Fast (speed (m/s) > 8)"",
    ""Weather[rain]"": ""None rain (rain_level==0)"",
    ""Weather[fog]"": ""None fog (fog_level==0)"",
    ""Weather[wetness]"": ""None wetness (wetness_level==0)"",
    ""TimeofDay"": ""Noon (12pm)"",
    ""NPC"": {
      ""NPC1"": {
        ""position"": {
          ""y"": 4182826.18,
          ""x"": 552853.03,
          ""z"": 10.51
        },
        ""volume"": ""small"",
        ""operation"": ""SwitchLane (RightToLeft)"",
        ""speed"": ""Stop (0 < speed (m/s) <= 0.01)"",
        ""distance_temp"": 21.78,
        ""relativeDistance"": ""Far(18<distance<=28)""
      }
    },
    ""Pedestrian"": ""None"",
    ""Static obstacle"": ""None"",
    ""TrafficRule[Traffic light]"": ""Green (Allow to pass but slow at intersection)"",
    ""TrafficRule[Sidewalk]"": ""None"",
    ""CollisionInfoAtTimeStep"": ""NotOccurred""
  }
}","{
  ""Scenario"": {
    ""Ego_Position"": {
      ""vx"": 5.5,
      ""ay"": 0.16,
      ""az"": 9.83,
      ""ax"": 0.13,
      ""pz"": 10.12,
      ""vy"": 5.5,
      ""px"": 552835.53,
      ""py"": 4182813.22
    },
    ""Ego_Operation"": ""SpeedUp"",
    ""Ego_Speed"": ""Fast (speed (m/s) > 8)"",
    ""Weather[rain]"": ""None rain (rain_level==0)"",
    ""Weather[fog]"": ""None fog (fog_level==0)"",
    ""Weather[wetness]"": ""None wetness (wetness_level==0)"",
    ""TimeofDay"": ""Noon (12pm)"",
    ""NPC"": {
      ""NPC1"": {
        ""position"": {
          ""y"": 4182826.18,
          ""x"": 552853.03,
          ""z"": 10.51
        },
        ""volume"": ""small"",
        ""operation"": ""SwitchLane (RightToLeft)"",
        ""speed"": ""Stop (0 < speed (m/s) <= 0.01)"",
        ""distance_temp"": 21.78,
        ""relativeDistance"": ""Far(18<distance<=28)""
      }
    },
    ""Pedestrian"": ""None"",
    ""Static obstacle"": ""None"",
    ""TrafficRule[Traffic light]"": ""Green (Allow to pass but slow at intersection)"",
    ""TrafficRule[Sidewalk]"": ""None"",
    ""CollisionInfoAtTimeStep"": ""NotOccurred""
  },
  ""Time"": [
    ""TimeStep2""
  ]
}",4,1,3,0,0,0,2,3,0,0,1,0,"{'ego_op_demand': 'high', 'ego_speed_demand': 'not high', 'rain_demand': 'not high', 'fog_demand': 'not high', 'wetness_demand': 'not high', 'time_of_day_demand': 'high', 'npcs_demand': 'not high', 'pedestrians_demand': 'high', 'obstacles_demand': 'high', 'traffic_light_demand': 'not high', 'sidewalk_demand': 'not high'}",1,0,0,1.0,SafeDriving,-1,-1
0,0,"{
  ""TimeStep3"": {
    ""Ego_Position"": {
      ""vx"": 5.57,
      ""ay"": 0.16,
      ""az"": 9.82,
      ""ax"": 0.13,
      ""pz"": 10.12,
      ""vy"": 5.57,
      ""px"": 552832.95,
      ""py"": 4182815.21
    },
    ""Ego_Operation"": ""SpeedUp"",
    ""Ego_Speed"": ""Fast (speed (m/s) > 8)"",
    ""Weather[rain]"": ""None rain (rain_level==0)"",
    ""Weather[fog]"": ""None fog (fog_level==0)"",
    ""Weather[wetness]"": ""None wetness (wetness_level==0)"",
    ""TimeofDay"": ""Noon (12pm)"",
    ""NPC"": {
      ""NPC1"": {
        ""position"": {
          ""y"": 4182825.76,
          ""x"": 552853.57,
          ""z"": 10.43
        },
        ""volume"": ""small"",
        ""operation"": ""SwitchLane (RightToLeft)"",
        ""speed"": ""Stop (0 < speed (m/s) <= 0.01)"",
        ""distance_temp"": 23.16,
        ""relativeDistance"": ""Far(18<distance<=28)""
      }
    },
    ""Pedestrian"": ""None"",
    ""Static obstacle"": ""None"",
    ""TrafficRule[Traffic light]"": ""Red (Do not run a red light)"",
    ""TrafficRule[Sidewalk]"": ""None"",
    ""CollisionInfoAtTimeStep"": ""NotOccurred""
  }
}","{
  ""Scenario"": {
    ""Ego_Position"": {
      ""vx"": 5.57,
      ""ay"": 0.16,
      ""az"": 9.82,
      ""ax"": 0.13,
      ""pz"": 10.12,
      ""vy"": 5.57,
      ""px"": 552832.95,
      ""py"": 4182815.21
    },
    ""Ego_Operation"": ""SpeedUp"",
    ""Ego_Speed"": ""Fast (speed (m/s) > 8)"",
    ""Weather[rain]"": ""None rain (rain_level==0)"",
    ""Weather[fog]"": ""None fog (fog_level==0)"",
    ""Weather[wetness]"": ""None wetness (wetness_level==0)"",
    ""TimeofDay"": ""Noon (12pm)"",
    ""NPC"": {
      ""NPC1"": {
        ""position"": {
          ""y"": 4182825.76,
          ""x"": 552853.57,
          ""z"": 10.43
        },
        ""volume"": ""small"",
        ""operation"": ""SwitchLane (RightToLeft)"",
        ""speed"": ""Stop (0 < speed (m/s) <= 0.01)"",
        ""distance_temp"": 23.16,
        ""relativeDistance"": ""Far(18<distance<=28)""
      }
    },
    ""Pedestrian"": ""None"",
    ""Static obstacle"": ""None"",
    ""TrafficRule[Traffic light]"": ""Red (Do not run a red light)"",
    ""TrafficRule[Sidewalk]"": ""None"",
    ""CollisionInfoAtTimeStep"": ""NotOccurred""
  },
  ""Time"": [
    ""TimeStep3""
  ]
}",5,1,3,0,0,0,2,3,0,0,3,0,"{'ego_op_demand': 'high', 'ego_speed_demand': 'not high', 'rain_demand': 'not high', 'fog_demand': 'not high', 'wetness_demand': 'not high', 'time_of_day_demand': 'high', 'npcs_demand': 'not high', 'pedestrians_demand': 'high', 'obstacles_demand': 'high', 'traffic_light_demand': 'high', 'sidewalk_demand': 'not high'}",1,0,0,1.5,SafeDriving,-1,-1
0,0,"{
  ""TimeStep4"": {
    ""Ego_Position"": {
      ""vx"": 5.63,
      ""ay"": 0.16,
      ""az"": 9.81,
      ""ax"": 0.13,
      ""pz"": 10.12,
      ""vy"": 5.63,
      ""px"": 552829.85,
      ""py"": 4182817.62
    },
    ""Ego_Operation"": ""SpeedUp"",
    ""Ego_Speed"": ""Fast (speed (m/s) > 8)"",
    ""Weather[rain]"": ""None rain (rain_level==0)"",
    ""Weather[fog]"": ""None fog (fog_level==0)"",
    ""Weather[wetness]"": ""None wetness (wetness_level==0)"",
    ""TimeofDay"": ""Noon (12pm)"",
    ""NPC"": ""None"",
    ""Pedestrian"": ""None"",
    ""Static obstacle"": ""None"",
    ""TrafficRule[Traffic light]"": ""Green (Allow to pass but slow at intersection)"",
    ""TrafficRule[Sidewalk]"": ""None"",
    ""CollisionInfoAtTimeStep"": ""NotOccurred""
  }
}","{
  ""Scenario"": {
    ""Ego_Position"": {
      ""vx"": 5.63,
      ""ay"": 0.16,
      ""az"": 9.81,
      ""ax"": 0.13,
      ""pz"": 10.12,
      ""vy"": 5.63,
      ""px"": 552829.85,
      ""py"": 4182817.62
    },
    ""Ego_Operation"": ""SpeedUp"",
    ""Ego_Speed"": ""Fast (speed (m/s) > 8)"",
    ""Weather[rain]"": ""None rain (rain_level==0)"",
    ""Weather[fog]"": ""None fog (fog_level==0)"",
    ""Weather[wetness]"": ""None wetness (wetness_level==0)"",
    ""TimeofDay"": ""Noon (12pm)"",
    ""NPC"": ""None"",
    ""Pedestrian"": ""None"",
    ""Static obstacle"": ""None"",
    ""TrafficRule[Traffic light]"": ""Green (Allow to pass but slow at intersection)"",
    ""TrafficRule[Sidewalk]"": ""None"",
    ""CollisionInfoAtTimeStep"": ""NotOccurred""
  },
  ""Time"": [
    ""TimeStep4""
  ]
}",5,1,3,0,0,0,2,0,0,0,1,0,"{'ego_op_demand': 'high', 'ego_speed_demand': 'not high', 'rain_demand': 'not high', 'fog_demand': 'not high', 'wetness_demand': 'not high', 'time_of_day_demand': 'high', 'npcs_demand': 'high', 'pedestrians_demand': 'high', 'obstacles_demand': 'high', 'traffic_light_demand': 'not high', 'sidewalk_demand': 'not high'}",0,0,0,2.0,SafeDriving,-1,-1
