Episode,Action,Probability,Done
0,19,0.284,False
0,15,0.0,False
0,1,0.99,False
0,1,0.377,False
0,5,0.99,False
0,1,0.594,False
0,1,0.0,False
0,15,0.0,False
0,15,0.0,True
1,15,0.99,False
1,0,0.0,False
1,0,0.385,False
1,15,0.244,False
1,1,0.0,False
1,1,0.99,False
1,1,0.99,False
1,1,0.99,False
1,1,0.596,False
1,1,0.10300000000000001,False
1,8,0.11800000000000001,False
1,1,0.126,True
2,1,0.0,False
2,5,0.99,False
2,1,0.588,False
2,1,0.99,False
2,1,0.99,False
2,1,0.99,False
2,1,0.595,False
2,12,0.361,False
2,0,0.361,False
2,0,0.361,True
3,12,0.0,False
3,19,0.36700000000000005,False
3,1,0.99,False
3,11,0.99,False
3,1,0.58,False
3,1,0.99,False
3,19,0.361,False
3,1,0.361,True
4,1,0.005,False
4,19,0.99,False
4,19,0.593,False
4,4,0.513,False
4,1,0.0,False
4,1,0.99,False
4,0,0.361,False
4,0,0.361,True
5,1,0.99,False
5,13,0.595,False
5,15,0.0,False
5,1,0.209,False
5,1,0.99,False
5,1,0.569,False
5,1,0.132,False
5,1,0.309,False
5,1,0.34700000000000003,False
5,1,0.34700000000000003,False
5,1,0.342,True
6,4,0.0,False
6,4,0.0,False
6,1,0.99,False
6,1,0.99,False
6,1,0.99,False
6,1,0.99,False
6,4,0.596,False
6,1,0.0,False
6,1,0.0,True
7,4,0.0,False
7,4,0.0,False
7,1,0.99,False
7,1,0.594,False
7,1,0.99,False
7,1,0.99,False
7,19,0.594,False
7,19,0.58,False
7,5,0.475,False
7,19,0.469,False
7,4,0.0,False
7,7,0.307,False
7,4,0.469,True
8,4,0.0,False
8,4,0.0,False
8,4,0.0,False
8,1,0.20600000000000002,False
8,1,0.99,False
8,1,0.595,False
8,1,0.25,False
8,13,0.265,False
8,13,0.272,True
9,4,0.0,False
9,15,0.0,False
9,1,0.99,False
9,13,0.596,False
9,6,0.0,False
9,1,0.0,False
9,19,0.0,False
9,16,0.0,True
10,19,0.27699999999999997,False
10,19,0.314,False
10,1,0.99,False
10,19,0.99,False
10,1,0.596,False
10,1,0.99,False
10,18,0.588,False
10,18,0.0,False
10,18,0.0,False
10,18,0.0,True
11,18,0.0,False
11,18,0.0,False
11,10,0.0,False
11,1,0.99,False
11,13,0.526,False
11,14,0.596,False
11,14,0.0,False
11,14,0.0,False
11,19,0.0,True
12,15,0.99,False
12,1,0.0,False
12,10,0.0,False
12,12,0.0,False
12,12,0.0,False
12,19,0.0,False
12,13,0.0,False
12,13,0.0,False
12,13,0.0,True
13,13,0.0,False
13,13,0.0,False
13,2,0.0,False
13,19,0.265,False
13,1,0.99,False
13,1,0.579,False
13,1,0.99,False
13,1,0.51,False
13,1,0.0,False
13,1,0.0,True
14,1,0.0,False
14,17,0.99,False
14,1,0.361,False
14,1,0.361,True
15,1,0.0,False
15,1,0.99,False
15,1,0.99,False
15,1,0.99,False
15,1,0.99,False
15,1,0.99,False
15,1,0.99,False
15,15,0.597,False
15,18,0.361,False
15,18,0.361,False
15,18,0.36,True
16,6,0.0,False
16,17,0.0,False
16,19,0.222,False
16,1,0.99,False
16,19,0.564,False
16,1,0.5720000000000001,False
16,1,0.0,False
16,1,0.0,False
16,1,0.0,True
17,17,0.0,False
17,17,0.0,False
17,0,0.19399999999999998,False
17,1,0.99,False
17,0,0.585,False
17,1,0.21100000000000002,False
17,1,0.99,False
17,0,0.594,False
17,0,0.0,False
17,0,0.154,True
18,17,0.0,False
18,17,0.0,False
18,2,0.0,False
18,19,0.17,False
18,19,0.0,False
18,19,0.253,False
18,19,0.253,False
18,19,0.0,False
18,18,0.287,False
18,4,0.49200000000000005,True
19,19,0.282,False
19,19,0.34700000000000003,False
19,1,0.99,False
19,12,0.99,False
19,3,0.5870000000000001,False
19,1,0.0,False
19,1,0.0,False
19,1,0.0,False
19,1,0.0,True
20,15,0.99,False
20,18,0.0,False
20,1,0.99,False
20,15,0.99,False
20,18,0.601,False
20,18,0.0,False
20,18,0.0,False
20,18,0.0,False
20,1,0.0,False
20,1,0.0,False
20,1,0.0,True
21,14,0.0,False
21,1,0.149,False
21,1,0.99,False
21,19,0.361,False
21,19,0.361,True
22,19,0.284,False
22,15,0.0,False
22,1,0.99,False
22,19,0.57,False
22,1,0.212,False
22,1,0.99,False
22,19,0.361,False
22,6,0.361,True
23,15,0.99,False
23,13,0.0,False
23,13,0.0,False
23,4,0.45,False
23,4,0.429,False
