Episode,Action,Probability,Done
0,10,0.0,False
0,5,0.0,False
0,18,0.0,False
0,2,0.43,False
0,0,0.17,False
0,14,0.0,False
0,3,0.0,False
0,2,0.0,False
0,16,0.0,False
0,6,0.0,False
0,19,0.0,False
0,10,0.0,True
1,20,0.0,False
1,6,0.0,False
1,14,0.0,False
1,19,0.0,False
1,11,0.0,False
1,4,0.0,False
1,8,0.0,False
1,1,0.0,True
2,5,0.0,False
2,8,0.0,False
2,0,0.201,False
2,8,0.0,False
2,12,0.0,False
2,0,0.0,False
2,2,0.0,False
2,3,0.0,True
3,0,0.158,False
3,19,0.0,False
3,3,0.0,False
3,2,0.336,False
3,7,0.0,False
3,5,0.0,False
3,6,0.0,False
3,3,0.0,False
3,3,0.0,False
3,0,0.0,False
3,20,0.0,True
4,20,0.0,False
4,8,0.0,False
4,15,0.0,False
4,17,0.0,False
4,19,0.0,False
4,1,0.0,False
4,6,0.0,False
4,21,0.0,True
5,7,0.0,False
5,17,0.261,False
5,17,0.0,False
5,20,0.0,False
5,9,0.0,False
5,21,0.0,False
5,15,0.0,False
5,8,0.0,False
5,8,0.0,True
6,5,0.0,False
6,12,0.0,False
6,3,0.0,False
6,18,0.0,False
6,1,0.0,False
6,3,0.0,False
6,20,0.99,False
6,8,0.0,False
6,20,0.184,False
6,17,0.114,False
6,4,0.114,False
6,7,0.132,False
6,21,0.132,True
7,8,0.0,False
7,3,0.0,False
7,0,0.228,False
7,10,0.0,False
7,6,0.0,False
7,8,0.0,False
7,19,0.0,False
7,4,0.0,False
7,17,0.0,True
8,3,0.0,False
8,9,0.0,False
8,4,0.0,False
8,15,0.0,False
8,9,0.0,False
8,12,0.0,False
8,4,0.0,False
8,17,0.0,False
8,3,0.0,False
8,3,0.0,False
8,15,0.0,False
8,5,0.0,False
8,1,0.0,True
9,4,0.0,False
9,21,0.99,False
9,14,0.0,False
9,3,0.0,False
9,11,0.0,False
9,18,0.0,False
9,16,0.0,False
9,6,0.0,True
10,17,0.0,False
10,7,0.0,False
10,11,0.0,False
10,2,0.31,False
10,12,0.0,False
10,12,0.0,False
10,11,0.0,False
10,18,0.0,False
10,16,0.0,True
11,6,0.0,False
11,10,0.0,False
11,1,0.324,False
11,0,0.99,False
11,11,0.0,False
11,5,0.0,False
11,4,0.0,False
11,12,0.0,False
11,21,0.0,False
11,6,0.0,False
11,7,0.0,True
12,2,0.99,False
12,19,0.0,False
12,20,0.0,False
12,15,0.0,False
12,9,0.0,False
12,5,0.0,False
12,13,0.0,True
13,6,0.0,False
13,2,0.305,False
13,20,0.067,False
13,20,0.253,False
13,20,0.0,False
13,16,0.0,False
13,6,0.0,False
13,8,0.0,False
13,21,0.0,False
13,10,0.0,True
14,6,0.0,False
14,6,0.0,False
14,10,0.0,False
14,10,0.0,False
14,16,0.0,False
14,5,0.0,False
14,15,0.0,False
14,9,0.0,False
14,3,0.0,False
14,2,0.0,False
14,12,0.0,False
14,10,0.0,False
15,2,0.99,False
15,20,0.563,False
15,20,0.0,False
15,3,0.0,False
15,17,0.0,False
15,20,0.052000000000000005,False
15,18,0.151,False
15,1,0.151,False
15,13,0.151,False
15,0,0.151,False
15,13,0.151,False
15,16,0.151,True
16,18,0.0,False
16,18,0.0,False
16,8,0.0,False
16,0,0.22399999999999998,False
16,20,0.0,False
16,6,0.0,False
16,19,0.0,False
16,17,0.0,False
16,21,0.0,False
16,10,0.0,False
16,1,0.0,False
16,10,0.0,False
16,17,0.0,False
16,0,0.0,False
16,5,0.0,True
17,15,0.0,False
17,7,0.0,False
17,19,0.0,False
17,10,0.0,False
17,21,0.99,False
17,17,0.0,False
17,3,0.0,False
17,18,0.0,True
18,3,0.0,False
18,13,0.0,False
18,19,0.0,False
18,3,0.0,False
18,7,0.0,False
18,10,0.0,False
18,19,0.0,False
18,16,0.0,False
18,3,0.0,False
18,20,0.0,False
18,9,0.0,False
18,13,0.19899999999999998,True
19,14,0.0,False
19,0,0.222,False
19,14,0.0,False
19,8,0.0,False
19,17,0.0,False
19,6,0.0,False
19,12,0.0,False
19,18,0.0,False
19,20,0.99,True
20,3,0.20199999999999999,False
20,10,0.0,False
20,0,0.222,False
20,5,0.0,False
20,14,0.0,False
20,1,0.0,False
20,10,0.99,False
20,8,0.361,False
20,7,0.361,False
20,2,0.361,False
20,15,0.361,False
20,5,0.361,False
20,2,0.361,True
21,4,0.0,False
21,1,0.0,False
21,18,0.361,False
21,0,0.361,False
21,2,0.36,False
21,0,0.36,False
21,13,0.36,False
21,10,0.36,True
22,12,0.0,False
22,11,0.0,False
22,16,0.0,False
22,16,0.0,False
22,18,0.0,False
22,6,0.0,False
22,16,0.0,False
22,13,0.0,False
22,7,0.0,False
22,1,0.0,False
22,8,0.0,False
22,21,0.0,False
22,20,0.0,True
23,5,0.0,False
23,9,0.0,False
23,16,0.0,False
23,0,0.36700000000000005,False
23,3,0.0,False
23,14,0.0,False
23,3,0.0,False
23,1,0.0,False
23,0,0.0,False
23,13,0.0,False
23,18,0.243,False
23,2,0.597,True
24,19,0.0,False
24,16,0.99,False
24,2,0.048,False
24,17,0.02,False
24,2,0.02,False
24,16,0.38,False
24,15,0.502,False
24,2,0.504,False
24,2,0.504,False
24,5,0.504,True
25,4,0.0,False
25,18,0.0,False
25,17,0.0,False
25,20,0.99,False
25,19,0.201,False
25,21,0.99,False
25,13,0.0,False
25,21,0.0,False
25,14,0.0,True
26,0,0.217,False
26,17,0.266,False
26,11,0.0,False
26,18,0.0,False
26,5,0.0,False
26,19,0.0,False
26,10,0.0,False
26,7,0.0,False
26,10,0.0,False
26,7,0.0,False
26,13,0.0,False
26,12,0.0,False
26,8,0.0,True
27,20,0.99,False
27,20,0.245,False
27,12,0.245,False
27,7,0.245,False
27,20,0.0,True
28,18,0.0,False
28,9,0.0,False
28,18,0.0,False
28,7,0.0,False
28,13,0.0,True
29,20,0.99,False
29,14,0.507,False
29,15,0.483,False
29,2,0.483,False
29,15,0.484,True
30,19,0.0,True
